Title,Artist,Genres,Year,Album,Popularity,Mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Living Rooms,Otis Neon,lo-fi jazzhop,2023,Living Rooms,48,Relaxing,0.541,0.259,8,-15.437,0,0.298,0.81,0.925,0.116,0.726,84.742,audio_features,3ah6FKGRz7ZM0xNY4olJUo,spotify:track:3ah6FKGRz7ZM0xNY4olJUo,https://api.spotify.com/v1/tracks/3ah6FKGRz7ZM0xNY4olJUo,https://api.spotify.com/v1/audio-analysis/3ah6FKGRz7ZM0xNY4olJUo,102353,4
Turtleneck,Florence Ada,lo-fi jazzhop,2023,Turtleneck,46,Relaxing,0.677,0.337,11,-15.259,0,0.216,0.622,0.441,0.194,0.604,82.974,audio_features,6wtYEn1SlvYQrEwTV48T8U,spotify:track:6wtYEn1SlvYQrEwTV48T8U,https://api.spotify.com/v1/tracks/6wtYEn1SlvYQrEwTV48T8U,https://api.spotify.com/v1/audio-analysis/6wtYEn1SlvYQrEwTV48T8U,98313,4
Stellar Journey,Dr. Hall,,2024,Stellar Journey,48,Relaxing,0.709,0.312,11,-13.696,1,0.0842,0.866,0.928,0.101,0.711,133.914,audio_features,3eyHbqF8Vkzv6JyGGN0Epb,spotify:track:3eyHbqF8Vkzv6JyGGN0Epb,https://api.spotify.com/v1/tracks/3eyHbqF8Vkzv6JyGGN0Epb,https://api.spotify.com/v1/audio-analysis/3eyHbqF8Vkzv6JyGGN0Epb,187164,4
Night Life Funk,Mindscape,lo-fi jazzhop,2023,Night Life Funk,46,Relaxing,0.667,0.238,0,-12.566,0,0.109,0.763,0.716,0.0736,0.379,178.221,audio_features,5DCgU6By4P5jj1j3ihhCCJ,spotify:track:5DCgU6By4P5jj1j3ihhCCJ,https://api.spotify.com/v1/tracks/5DCgU6By4P5jj1j3ihhCCJ,https://api.spotify.com/v1/audio-analysis/5DCgU6By4P5jj1j3ihhCCJ,119326,4
Sweet Apollo,SoFo,sacramento indie,2024,Sweet Apollo,47,Relaxing,0.742,0.376,2,-8.981,0,0.222,0.317,0.47,0.113,0.245,180.142,audio_features,387Et4ZBM5n4NEmpkvN3RR,spotify:track:387Et4ZBM5n4NEmpkvN3RR,https://api.spotify.com/v1/tracks/387Et4ZBM5n4NEmpkvN3RR,https://api.spotify.com/v1/audio-analysis/387Et4ZBM5n4NEmpkvN3RR,138667,4
Calm Your Mind,"Kimmø, Kid Tarô",lo-fi jazzhop,2024,Calm Your Mind,52,Relaxing,0.83,0.566,5,-9.317,0,0.0524,0.21,0.918,0.11,0.469,101.973,audio_features,5Y5INI47aDC5838KKFO07y,spotify:track:5Y5INI47aDC5838KKFO07y,https://api.spotify.com/v1/tracks/5Y5INI47aDC5838KKFO07y,https://api.spotify.com/v1/audio-analysis/5Y5INI47aDC5838KKFO07y,106158,4
new year's eve,super8memory,,2022,new year's eve,46,Relaxing,0.749,0.275,2,-12.142,1,0.202,0.288,0.921,0.129,0.498,160.052,audio_features,4NIYTZEm7gCIhg7Ivi3CDg,spotify:track:4NIYTZEm7gCIhg7Ivi3CDg,https://api.spotify.com/v1/tracks/4NIYTZEm7gCIhg7Ivi3CDg,https://api.spotify.com/v1/audio-analysis/4NIYTZEm7gCIhg7Ivi3CDg,126750,4
sheesh bloke,SLACER,"trap beats, study beats",2023,sheesh bloke,45,Relaxing,0.743,0.447,6,-10.7,1,0.135,0.359,0.823,0.171,0.754,136.076,audio_features,2DvtuX7pLLwe5RWuqecuCX,spotify:track:2DvtuX7pLLwe5RWuqecuCX,https://api.spotify.com/v1/tracks/2DvtuX7pLLwe5RWuqecuCX,https://api.spotify.com/v1/audio-analysis/2DvtuX7pLLwe5RWuqecuCX,107647,4
Still Here,Miss Misaki,,2023,Still Here,46,Relaxing,0.679,0.333,9,-9.146,1,0.0702,0.797,0.93,0.108,0.332,152.015,audio_features,6yXp48pov09DBrGIr0AiXu,spotify:track:6yXp48pov09DBrGIr0AiXu,https://api.spotify.com/v1/tracks/6yXp48pov09DBrGIr0AiXu,https://api.spotify.com/v1/audio-analysis/6yXp48pov09DBrGIr0AiXu,145500,4
The 24th,Bobby Dreamz BIG,lo-fi jazzhop,2023,The 24th,46,Relaxing,0.692,0.449,2,-7.475,0,0.0549,0.485,0.47,0.0886,0.276,80.002,audio_features,6Ps0lFGMgaalcMFGXUIjTj,spotify:track:6Ps0lFGMgaalcMFGXUIjTj,https://api.spotify.com/v1/tracks/6Ps0lFGMgaalcMFGXUIjTj,https://api.spotify.com/v1/audio-analysis/6Ps0lFGMgaalcMFGXUIjTj,162000,4
It's Time,C4C,"lo-fi beats, chillhop",2024,Time Brings Change EP,49,Relaxing,0.762,0.332,4,-12.743,1,0.385,0.244,0.753,0.11,0.526,79.983,audio_features,0FQJcnHx67utr98s11Q2qX,spotify:track:0FQJcnHx67utr98s11Q2qX,https://api.spotify.com/v1/tracks/0FQJcnHx67utr98s11Q2qX,https://api.spotify.com/v1/audio-analysis/0FQJcnHx67utr98s11Q2qX,110000,4
Don’t Forget Me,Popcorn Trees,,2022,Don’t Forget Me,51,Relaxing,0.915,0.268,1,-10.684,0,0.1,0.626,0.74,0.0913,0.229,89.984,audio_features,3OjultkM3CXtK0JFmCO5Ux,spotify:track:3OjultkM3CXtK0JFmCO5Ux,https://api.spotify.com/v1/tracks/3OjultkM3CXtK0JFmCO5Ux,https://api.spotify.com/v1/audio-analysis/3OjultkM3CXtK0JFmCO5Ux,109333,4
Crispiness,Dee Dee Kidd,,2023,Crispiness,47,Relaxing,0.67,0.428,7,-9.994,1,0.0997,0.707,0.925,0.117,0.0732,89.988,audio_features,67TiB4FlJItKnZFtlXg51R,spotify:track:67TiB4FlJItKnZFtlXg51R,https://api.spotify.com/v1/tracks/67TiB4FlJItKnZFtlXg51R,https://api.spotify.com/v1/audio-analysis/67TiB4FlJItKnZFtlXg51R,158848,4
Fancy Backpack,humble hugo,,2024,Fancy Backpack,46,Relaxing,0.858,0.262,5,-12.436,0,0.0977,0.561,0.941,0.101,0.264,81.99,audio_features,3Nt1MkCi2M8vP0kadJKGK2,spotify:track:3Nt1MkCi2M8vP0kadJKGK2,https://api.spotify.com/v1/tracks/3Nt1MkCi2M8vP0kadJKGK2,https://api.spotify.com/v1/audio-analysis/3Nt1MkCi2M8vP0kadJKGK2,145923,4
for you,dirtybirdie,,2022,for you,49,Relaxing,0.486,0.319,9,-9.494,0,0.0277,0.00244,0.819,0.133,0.256,85.031,audio_features,7EUp5t0R3xhWNRaOiIleFV,spotify:track:7EUp5t0R3xhWNRaOiIleFV,https://api.spotify.com/v1/tracks/7EUp5t0R3xhWNRaOiIleFV,https://api.spotify.com/v1/audio-analysis/7EUp5t0R3xhWNRaOiIleFV,108000,4
fastback ride,Nitta' Gritta',,2023,fastback ride,51,Relaxing,0.624,0.379,5,-7.806,1,0.0288,0.899,0.842,0.113,0.336,72.996,audio_features,2J4JxUvNa8zqP6N5BUitlt,spotify:track:2J4JxUvNa8zqP6N5BUitlt,https://api.spotify.com/v1/tracks/2J4JxUvNa8zqP6N5BUitlt,https://api.spotify.com/v1/audio-analysis/2J4JxUvNa8zqP6N5BUitlt,169625,4
SoulShower,Bus Topp,,2023,SoulShower,55,Relaxing,0.422,0.0909,5,-23.049,0,0.0546,0.871,0.886,0.0989,0.0981,69.004,audio_features,5aeQDI9LxC5Aiuc5Vqo65K,spotify:track:5aeQDI9LxC5Aiuc5Vqo65K,https://api.spotify.com/v1/tracks/5aeQDI9LxC5Aiuc5Vqo65K,https://api.spotify.com/v1/audio-analysis/5aeQDI9LxC5Aiuc5Vqo65K,193958,4
Flash,Aurora 10,lo-fi cover,2024,Flash,57,Relaxing,0.887,0.128,2,-16.508,1,0.417,0.801,0.926,0.111,0.651,74.988,audio_features,4YzZwV3CsUsT2orcj9yTUg,spotify:track:4YzZwV3CsUsT2orcj9yTUg,https://api.spotify.com/v1/tracks/4YzZwV3CsUsT2orcj9yTUg,https://api.spotify.com/v1/audio-analysis/4YzZwV3CsUsT2orcj9yTUg,121600,4
Flawless Waves,Loufish,lo-fi jazzhop,2024,Flawless Waves,47,Relaxing,0.682,0.374,0,-9.365,1,0.468,0.436,0.764,0.131,0.446,158.358,audio_features,10qK2Qc4r06G98baNwKgu9,spotify:track:10qK2Qc4r06G98baNwKgu9,https://api.spotify.com/v1/tracks/10qK2Qc4r06G98baNwKgu9,https://api.spotify.com/v1/audio-analysis/10qK2Qc4r06G98baNwKgu9,72911,4
Okabe,Brenky,"lo-fi beats, chillhop",2023,Okabe,47,Relaxing,0.525,0.202,2,-12.897,1,0.049,0.816,0.805,0.115,0.402,83.89,audio_features,4ktluvYYDGUvBl9uKruQiv,spotify:track:4ktluvYYDGUvBl9uKruQiv,https://api.spotify.com/v1/tracks/4ktluvYYDGUvBl9uKruQiv,https://api.spotify.com/v1/audio-analysis/4ktluvYYDGUvBl9uKruQiv,80000,4
After Hours,Gooee,,2023,After Hours,58,Relaxing,0.734,0.302,7,-12.732,1,0.229,0.384,0.731,0.329,0.557,85.968,audio_features,54Q1fME5hhgFWipi1SkTtU,spotify:track:54Q1fME5hhgFWipi1SkTtU,https://api.spotify.com/v1/tracks/54Q1fME5hhgFWipi1SkTtU,https://api.spotify.com/v1/audio-analysis/54Q1fME5hhgFWipi1SkTtU,123386,4
lovebird,flotate,,2022,lovebird,46,Relaxing,0.79,0.332,10,-13.934,1,0.0697,0.873,0.878,0.0944,0.799,93.418,audio_features,17KHkEccHRhWYlZCqKDSNA,spotify:track:17KHkEccHRhWYlZCqKDSNA,https://api.spotify.com/v1/tracks/17KHkEccHRhWYlZCqKDSNA,https://api.spotify.com/v1/audio-analysis/17KHkEccHRhWYlZCqKDSNA,115632,4
Spirit,Lownas,,2024,Spirit,62,Relaxing,0.757,0.178,5,-15.494,0,0.19,0.573,0.864,0.0999,0.63,134.03,audio_features,3fEIMXp1PPz4fbtTCXnVbd,spotify:track:3fEIMXp1PPz4fbtTCXnVbd,https://api.spotify.com/v1/tracks/3fEIMXp1PPz4fbtTCXnVbd,https://api.spotify.com/v1/audio-analysis/3fEIMXp1PPz4fbtTCXnVbd,177313,4
Five Buttons,Ramsey Road,,2023,Five Buttons,47,Relaxing,0.566,0.465,1,-10.762,1,0.079,0.543,0.637,0.118,0.167,77.961,audio_features,78EMR78yK77l8ZHOxHOF3P,spotify:track:78EMR78yK77l8ZHOxHOF3P,https://api.spotify.com/v1/tracks/78EMR78yK77l8ZHOxHOF3P,https://api.spotify.com/v1/audio-analysis/78EMR78yK77l8ZHOxHOF3P,115385,4
Clouds,Rez Tiller,,2024,Clouds,48,Relaxing,0.778,0.317,7,-11.802,0,0.0308,0.876,0.866,0.172,0.684,140.012,audio_features,3UcgqdjXCPzjnjUdIKSEXC,spotify:track:3UcgqdjXCPzjnjUdIKSEXC,https://api.spotify.com/v1/tracks/3UcgqdjXCPzjnjUdIKSEXC,https://api.spotify.com/v1/audio-analysis/3UcgqdjXCPzjnjUdIKSEXC,150857,4
Indigo,Lazlow,lo-fi jazzhop,2023,Indigo,55,Relaxing,0.671,0.397,2,-10.854,0,0.0399,0.713,0.928,0.125,0.251,160.044,audio_features,2Q0Sgox8fZRoqE61pD9m2y,spotify:track:2Q0Sgox8fZRoqE61pD9m2y,https://api.spotify.com/v1/tracks/2Q0Sgox8fZRoqE61pD9m2y,https://api.spotify.com/v1/audio-analysis/2Q0Sgox8fZRoqE61pD9m2y,134250,4
thankful,loku,,2024,thankful,45,Relaxing,0.7,0.473,3,-13.487,1,0.17,0.778,0.853,0.487,0.698,74.031,audio_features,0nyqWzGxfKw9k30MK0rXZQ,spotify:track:0nyqWzGxfKw9k30MK0rXZQ,https://api.spotify.com/v1/tracks/0nyqWzGxfKw9k30MK0rXZQ,https://api.spotify.com/v1/audio-analysis/0nyqWzGxfKw9k30MK0rXZQ,139436,4
Tobari,Su-Zuum,,2023,Tobari,48,Relaxing,0.544,0.364,2,-14.077,0,0.0493,0.925,0.856,0.0788,0.0889,158.088,audio_features,26TtYAJOsNblgUe5auw9xU,spotify:track:26TtYAJOsNblgUe5auw9xU,https://api.spotify.com/v1/tracks/26TtYAJOsNblgUe5auw9xU,https://api.spotify.com/v1/audio-analysis/26TtYAJOsNblgUe5auw9xU,153418,4
sunday session,Lil Skate,,2024,sunday session,26,Relaxing,0.757,0.236,7,-12.148,0,0.0553,0.398,0.831,0.106,0.596,82.007,audio_features,4ESXI7aayDsRnMLL4MZPeG,spotify:track:4ESXI7aayDsRnMLL4MZPeG,https://api.spotify.com/v1/tracks/4ESXI7aayDsRnMLL4MZPeG,https://api.spotify.com/v1/audio-analysis/4ESXI7aayDsRnMLL4MZPeG,105389,4
Photobooth,Slow Bounce,,2023,Photobooth,46,Relaxing,0.416,0.625,7,-4.931,1,0.216,0.401,0.846,0.262,0.359,159.924,audio_features,43VEuEMhk84irvMBlF6KJp,spotify:track:43VEuEMhk84irvMBlF6KJp,https://api.spotify.com/v1/tracks/43VEuEMhk84irvMBlF6KJp,https://api.spotify.com/v1/audio-analysis/43VEuEMhk84irvMBlF6KJp,111316,4
